psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,input_channels,deepsupervision,residual,num_of_layers,features,rain_type
23.723568883263603,28.61986397045107,0.9032339300243756,0.9466167061812009,54,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
19.830033038850193,28.52743884578331,0.7147002312455556,0.9199271507864587,55,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
25.010248393289963,38.48956983686074,0.7875614580650963,0.9860863565170654,0,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
27.83287415466529,36.064982423517066,0.8983869360780216,0.9789929819715623,1,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.858662402618673,29.403299720492925,0.8702489849258387,0.9652783934539414,2,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
28.021760293719858,26.562518250122938,0.937505505314736,0.9320865179524649,3,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.964165587116334,24.587523978640892,0.7636849981566206,0.8849074948226048,4,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.627453023903854,29.561258195780063,0.6419391544409946,0.9167456607915975,5,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.771048278684688,24.937354007982968,0.8004688811012235,0.9015879535812701,6,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
20.665443717645317,29.710986653630904,0.7784948978170613,0.9272813060766216,7,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.8322410901959,30.66420377088306,0.6452179811942345,0.9447743463156982,8,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.508833752343854,27.912135727559342,0.5888087657224798,0.9151577472942671,9,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.24924010420316,30.81587537347573,0.40126758614073915,0.9142063222818559,10,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
28.56371063314753,32.89989583232017,0.9242124709307012,0.9736782471694271,11,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.886176814630865,31.981104865159168,0.8560443097709216,0.9637899797156336,12,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.141191464802503,28.678291037588917,0.8655265465733756,0.9345231899817299,13,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.766649727585467,30.652501374007063,0.850472129573585,0.9652206831730776,14,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
22.066927782643756,30.519759266942437,0.8197285767167921,0.9701129192512523,15,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
27.51396817135232,30.209393372282793,0.9285806110115762,0.9599580797650035,16,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.560350026295463,25.403874532217557,0.6741842216080157,0.9027454583427362,17,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
19.422068340354592,28.10619212322758,0.6715788479147919,0.8826937723339124,18,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.46182793765766,26.043938542596194,0.7365639159955895,0.8955795044494813,19,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
27.641180773252785,28.288397196735705,0.9357619414618248,0.9489637932684424,20,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.83426932266707,32.15370791655334,0.8572714460643188,0.9605059018421382,21,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
25.150197050610473,32.6960124058563,0.8642075763313933,0.9690668345612385,22,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
20.806528174993403,28.192455368533192,0.810205279733825,0.9179414327141693,23,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
18.252233304697135,27.43248534584496,0.7910510934779218,0.9269226281951157,24,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.857567476906098,30.466448790896273,0.8667313434373147,0.9654989755192559,25,40,resgan8,0,0,1,1,1,3,1,1,17,64,1
